sent_1	sent_2	sim
El volcamiento de un bus de turismo, ocurrido en el kilómetro 8 de la vía Bogotá-Choachí, dejó un saldo de 38 personas lesionadas, de las cuales 30 tuvieron que ser remitidas a hospitales.	De las personas que iban en el bus y fueron valoradas en el sitio del accidente, 8 no ameritaron traslado a centro asistencial; el resto de los heridos fueron llevados a hospitales.	2.8
No dejaremos que ninguno de nuestros residentes viva en las sombrass, afirmó en español De Blasio durante su discurso sobre el estado de la ciudad, en el que anunció su proyecto.	No dejaremos que ninguno de nuestros residentes viva en la sombras, dijo De Blasio en español al realizar el anuncio durante su discurso del estado de la ciudad, en el que presentó las grandes líneas de su acción de gobierno para 2014.	3.8
La nieve y el hielo fueron aparentemente responsables de varios accidentes de tráfico ocurridos en las prefecturas de Ishikawa, Nagano o Aichi que se saldaron en total con 10 fallecidos, informó hoy la cadena pública NHK.	Cuatro de los fallecidos son motoristas, que han perdido la vida en accidentes de tráfico provocados por la nieve y el hielo en las prefecturas de Ishikawa y Nagano.	2.2
El presidente de Colombia, Juan Manuel Santos, reconoció hoy las reformas estructurales que su colega Enrique Peña Nieto ha realizado en México y destacó los lazos de amistad que unen a ambas naciones.	El presidente Enrique Peña Nieto reconoció que en el año 2013 la economía mexicana creció por debajo de las expectativas pero aseguró que este años promete un mayor crecimiento económico por las reformas y la inversión extranjera indirecta que alcanzó 35 mil millones de dólares.	1.4
sVenimos como un socio hermano a finiquitar los acuerdos comerciales que expresan la voluntad política de cuatro pueblos hermanos, México, Chile, Colombia y Perús, los miembros fundadores de la Alianza del Pacífico.	Añadió que a esta cumbre de la Alianza del Pacífico el Perú acude como “un socio y un hermanos para finiquitar los acuerdos comerciales sque expresan la voluntad política de cuatro pueblos hermanos: México, Colombia, Chile y Perú”.	3.6
Solís, un historiador de 55 años poco conocido en el país cuando inició la campaña política, ascendió vertiginosamente en dos semanas, superando también al candidato del izquierdista Frente Amplio , José María Villalta, a quien todas los sondeos daban como el más seguro rival de Araya en una segunda vuelta.	Solís, un historiador de 55 años poco conocido en el país cuando inició la campaña presidencial, tuvo un ascenso vertiginoso en menos de tres semanas, sobrepasando también al izquierdista José María Villalta, a quien todos daban como el casi seguro rival de Araya en una segunda vuelta.	4
La querella del Comité de Apoyo al Tibet por la cual se inició la investigación y que ahora es reproducida por el juez en el auto para decretar la prisión del expresidente, asegura que sJiang Zemin ejerció autoridad de supervisión sobre las personas que cometieron de forma directa los abusos propiamente dichos, lo que le hace responsable de actos de tortura y otros importantes abusos de derechos humanos perpetrados por sus subordinados contra la población tibetanas.	sJiang Zemin ejerció autoridad de supervisión sobre las personas que cometieron de forma directa los abusos propiamente dichos, lo que le hace responsable de actos de tortura y otros importantes abusos de derechos humanos perpetrados por sus subordinados contra la población tibetanas, señala la querella que ahora el juez reproduce en el auto para decretar la prisión del expresidente.	3
Once personas murieron, más de 1.000 resultaron heridas y decenas de miles quedaron sin electricidad cuando la peor tormenta de nieve en décadas afectó Tokio y sus alrededores antes de dirigirse hacia al norte, a la costa del Pacífico afectada por el tsunami en 2011.	Tokio, vivió la mayor nevada en 20 años con 27 centímetros de nieve acumulada.	1.6
Este activista ucraniano muy activo dentro de la oposición contra el presidente Viktor Yanukovitch afirma haber sido secuestrado el 22 de enero en Kiev y torturado durante una semana, antes de ser liberado en medio de un bosque.	Este opositor de 35 años y padre de tres niños fue secuestrado el 22 de enero en Kiev y torturado durante una semana antes de ser liberado en medio de un bosque.	3.2
Su identidad la había revelado durante el viaje en patrullera desde Ebon, dijo un funcionario del ministerio de Relaciones Exteriores de las Marshall, un vasto archipiélago de Micronesia.	La información fue suministrada por el pescador al embajador mexicano en Manila, Julio Camarena, quien también habló del caso con el ministro de Exteriores de las Islas Marshall, Phillip Muller, así como otras autoridades del archipiélago.	2.2
Estados Unidos informó este domingo que Corea del Norte retiró la invitación para que un enviado especial visitara Pyongyang, con el objetivo de negociar la liberación de Kenneth Bae, el ciudadano estadounidense condenado a 15 años de trabajo forzado.	Agencia EFE | Febrero 10 de 2014 Corea del Norte Washington, 10 feb .- Corea del Norte canceló este domingo su invitación para que el enviado de Washington Robert King visitase Pyongyang con el fin de hablar sobre el ciudadano estadounidense Kenneth Bae, preso en el país desde 2012, informó el Departamento de Estado a la cadena CNN.	2.8
Desde el comienzo de las protestas sociales del miércoles pasado, han dimitido en Bosnia los Gobiernos de tres de los diez cantones que forman la Federación croata-musulmana, así como el director del cuerpo de coordinación de la Policía bosnia.	En Bihac, en el extremo oeste, donde el sábado hubo unos choques entre los manifestantes y la policía, unas 500 personas se volvieron a congregar ayer en la principal plaza para exigir la dimisión del ministro cantonal, quien según algunos medios se ha fugado del país.	1.6
