sent_1,sent_2,sim,label,rand_id
A man is typing on a machine used for stenography,There is no person riding a bike along a muddy trail,1.0,NEUTRAL,9974
Two men are leaving the stage,Mimes are performing on a stage,3.1,NEUTRAL,1552
A man is wearing a purple shirt and black leather chaps and is posing for the camera,A model is wearing a purple shirt and black leather chaps and is posing for the camera,4.4,ENTAILMENT,9393
A man is playing a keyboard in a park,A person is playing the keyboard,4.3,ENTAILMENT,1373
A cat is playing with a small bottle,A bottle is being licked by the cat,3.5,NEUTRAL,5664
A poor man is being fed snakes and mice,A snake is being fed a mouse by a man,2.3,NEUTRAL,1609
Two white dogs and one brown dog are chasing a ball,Two white dogs and one brown dog are chasing a toy,4.5,ENTAILMENT,7887
A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,3.3,NEUTRAL,315
Two men are riding an orange raft on the shore,Two men are getting off of an orange raft on the shore,4.2,NEUTRAL,6460
There is no woman tapping her fingers,A woman is tapping her fingers on a table,3.8,CONTRADICTION,2233
A man is puking,A man is eating,2.3,NEUTRAL,5733
A young man is pushing a motocross bike up a dirt hill,Some young bikers are getting a dirt bike up a sandy hill,4.0,NEUTRAL,8248
A man is playing a wooden flute,A wooden flute is being played by a man,5.0,ENTAILMENT,4154
A person is stupidly throwing a cat at the ceiling,A person is throwing a cat at the ceiling,4.4,ENTAILMENT,3765
There is no monkey kicking a person,A monkey is kicking a person,4.3,CONTRADICTION,4718
A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,1.5,NEUTRAL,327
A girl is playing a flute,A wind instrument is being played by a girl,4.3,ENTAILMENT,5313
A man in a red jacket and khaki pants is walking through an American state,A person in a red jacket and khaki pants is walking through an American state,4.7,ENTAILMENT,9368
Two toddlers are eating on a really small wagon full of corndogs ,"Two toddlers are eating corndogs in a wagon, which is really small",3.9,NEUTRAL,949
An ice skating rink placed outdoors is full of people,There aren't many people in the ice skating park,3.6,CONTRADICTION,874
One man is talking to a girl with an internet camera,The teens are talking to a boy and a girl with a webcam,3.1,NEUTRAL,2073
A man is playing two keyboards,There is no man playing two keyboards,2.4,CONTRADICTION,1541
A man is playing the drum,A man is practicing the drum,4.6,ENTAILMENT,3586
The woman is pouring oil into a skillet,A chimp is angrily kicking a target,1.0,NEUTRAL,1934
A few men in a competition are running outside,A few men are running competitions outside,3.9,NEUTRAL,718
A man is hurriedly getting into a car in a garage,A man is getting into a car in a garage,4.7,ENTAILMENT,2675
Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,4.7,ENTAILMENT,7889
A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,The rider dressed in orange is driving a motorcycle on one wheel,2.8,NEUTRAL,9545
Some people who play soccer are kicking a soccer ball into the goal,A soccer player is scoring a goal,4.1,NEUTRAL,2755
The men are fist fighting in a ring,Two people are fist fighting in a ring,4.2,ENTAILMENT,3947
Two women are dancing,A couple of policewomen are singing karaoke,1.9,NEUTRAL,4579
A woman is standing near three children,There is no woman playing with two young boys at a park,2.1,NEUTRAL,6313
A group of men is playing soccer on the beach,A group of boys is playing soccer on the beach,4.4,NEUTRAL,4707
A cat is playing with a watermelon,The cat isn't playing with a watermelon,3.7,CONTRADICTION,2287
A woman is talking on a telephone,Two boys are talking on the phone,3.1,NEUTRAL,1214
There is no one sitting in lawn chairs and reading books,Two people in two chairs are reading,3.7,NEUTRAL,6752
A surfer is riding the wave,There is no man tying a shoe,1.0,NEUTRAL,9820
A man is hurriedly getting into a car in a garage,A man is getting into a car,4.1,ENTAILMENT,2678
A boy is sitting in a seat,A toddler is sitting down,4.2,NEUTRAL,8875
The lady is peeling the potato,There is no lady peeling the potato,2.7,CONTRADICTION,5357
A man is playing a harp,A man is harping on about a play,2.2,NEUTRAL,3424
A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,3.9,NEUTRAL,358
"A woman, who is old, is near a white dog",A woman and a dog are sitting on a tree stump,3.1,NEUTRAL,780
Two dogs on a lawn are playing with a plastic toy,Two dogs are running and trying to catch a ball,4.2,NEUTRAL,9408
A lady is wearing a black dress and is carrying a white cross,A lady is dressed in black and is carrying a white cross,4.5,ENTAILMENT,9148
A small group of people are standing and two are sitting on the sofa,A group of five young adults are lounging indoors,3.8,NEUTRAL,8963
A woman is taking two eggs out of a pot of water,A woman is boiling eggs,3.9,NEUTRAL,3253
A woman is slicing an octopus,A man is playing the instrument,1.0,NEUTRAL,5378
Some men are sawing,There are no men sawing,3.9,CONTRADICTION,1415
"The boys are standing in front of the car, which is burning",The boys are standing in front of the burning car,5.0,ENTAILMENT,3647
A dog is near the red ball in the air,A dog is far from the red ball in the air,3.6,CONTRADICTION,1046
A pair of kids are sticking out blue and green colored tongues,Two young boys are wearing hats and sticking their colored tongues out,4.0,NEUTRAL,9053
An ice skating rink placed outdoors is full of people,A lot of people are in an ice skating park,4.5,ENTAILMENT,876
"The player in purple, white and black is playing near the end of the field","The player in purple, white and black is not playing near the end of the field",4.3,CONTRADICTION,6802
A man is crouching and holding a camera,There is no tiger cub making a sound,1.0,NEUTRAL,9922
Something is being fried by a woman,A woman is frying something,4.8,ENTAILMENT,4981
A man is packing the guitar,The man is singing and playing the guitar,3.4,NEUTRAL,3910
Two persons of large size are sitting on a park bench and they have a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,4.7,ENTAILMENT,702
A young woman is playing the guitar,A girl is playing the guitar,4.5,ENTAILMENT,1988
A man is climbing a rope,The man is climbing up a rope,4.8,ENTAILMENT,4006
A man is dangerously throwing knives at a tree,The man isn't doing a magic trick,2.0,NEUTRAL,2024
A woman is slicing garlic,A woman is cutting garlic,4.9,ENTAILMENT,4683
A man is standing at the wheel of a classic American car that has its door and trunk open,A woman is standing at the wheel of a classic American car that has its door and trunk open,4.0,NEUTRAL,9239
A man is walking a woman through the woods,The man and woman are walking,4.0,ENTAILMENT,3304
A man is riding a horse,The person is not riding the horse,3.7,NEUTRAL,5260
A motorbike rider is jumping over a person on a sandy track,A person is riding a motorbike in the event related to motocross,3.3,NEUTRAL,1069
One man is turning on the microwave,There is no man is pushing the buttons of a microwave,3.7,CONTRADICTION,1751
The man is rock climbing,A man is cooking a snake,1.0,NEUTRAL,9904
Two large persons are sitting on a park bench and they have a bottle of soda between them,Two large persons are standing near a park bench and they have nothing between them,4.1,CONTRADICTION,703
A man is wearing a blue checkered shirt and riding a unicycle in the street,A man is standing shirtless in the street,2.4,NEUTRAL,7316
A man is getting a garage for the car,A man is getting into a car,2.7,NEUTRAL,2680
There is no man eating a pizza,A man is eating some food,3.1,NEUTRAL,4112
Two dogs are in a kennel on their hind legs and are facing one another,Two dogs are playing with each other,3.5,NEUTRAL,9269
The group of people is sitting on the ground outside a monument,Some people are sitting on the ground outside a monument,4.9,ENTAILMENT,6698
Two dogs are resting on the beach,Two white dogs are running and jumping along a beach,2.9,NEUTRAL,6877
There is no large group of cheerleaders walking in a parade,"The cheerleaders are parading and wearing black, pink and white uniforms",3.7,NEUTRAL,6293
Guitar is being played by two men,Two men are playing guitar,4.8,ENTAILMENT,4228
A young boy is jumping and covering nearby wooden fence with grass,A young boy covered in grass is jumping near a wooden fence,3.2,NEUTRAL,7144
There is no woman peeling a potato,The potato is being peeled by a woman,3.5,CONTRADICTION,1661
A man is singing a song and playing the guitar,A man is opening a package that contains headphones,1.2,NEUTRAL,1111
Two guys are sitting around a table and holding beers in their hands,A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,4.1,NEUTRAL,7485
A man is chopping butter into a container,A prawn is being cut by a woman,2.3,NEUTRAL,1407
Four people are walking along a city sidewalk and the one in the green hat is phoning someone,Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,4.65,ENTAILMENT,9330
There is no man playing a guitar,A man is singing and playing a guitar,4.1,CONTRADICTION,4921
Two dogs are running quickly through the park,Two dogs are running quickly through a park,5.0,ENTAILMENT,8815
A boy is walking across a bridge,A person is stirring vegetables in a bowl,1.0,NEUTRAL,9764
A snowboarder is jumping off the snow,There is no snowboarder jumping off the snow,3.1,CONTRADICTION,9140
A man is sitting on the beach,A man is performing a handstand on the beach,3.2,NEUTRAL,7669
"A man, a woman and two girls are walking on the beach",A group of people is on a beach,4.3,ENTAILMENT,339
There is no little girl with blond hair smiling and sitting on a swing,A little girl with blond hair is smiling and sitting on a swing,3.7,CONTRADICTION,6947
A father is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,2.515,NEUTRAL,637
A group of children in a church basement is playing maracas and tambourines,Tambourines are being played by a group of children,4.6,ENTAILMENT,9554
A man is singing to a girl,A man is singing to a woman,4.2,NEUTRAL,4443
A large green ball is missing a potato,A large green ball is hitting a potato,3.5,NEUTRAL,2968
A young lady in a bikini is lying on the beach,A lady who looks young is lying on the beach,4.3,ENTAILMENT,7658
Two sumo ringers are fighting,A man is riding a water toy in the water,1.0,NEUTRAL,5119
A woman in jeans is sitting on the saddle of a horse,A person wearing jeans is sitting on top of a horse saddle,4.3,ENTAILMENT,6082
The drums are being played by the man,The man is playing the drums,4.9,ENTAILMENT,5167
A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,2.4,NEUTRAL,436
A woman is collecting the water from a tap in a mug,A boy is filling a pitcher with water,2.7,NEUTRAL,3661
A woman is dancing and a man is playing the keyboard,A woman is dancing on a stage,3.4,NEUTRAL,3789
A dog is running on a snowy road,A dog is running on a snowy path,4.5,ENTAILMENT,8064
The small bee is landing on a bunch of yellow flowers,A bee is clinging to a yellow flower,3.6,NEUTRAL,6597
A person is riding a horse,Potatoes are being sliced by a woman,1.0,NEUTRAL,5918
Drinking milk helps a cat's hunger,The cat is licking milk from a saucer,3.4,NEUTRAL,2122
A dog is scattering a pack of white sheep on a dusty farm,A dog is herding a pack of white sheep on a dusty farm,3.8,NEUTRAL,6396
Someone is cutting some paper with scissors,The piece of paper is being cut,4.5,ENTAILMENT,3571
Three small dogs are sniffing at something,Butter is being chopped into a container by a man,1.0,NEUTRAL,9905
A person is scrubbing a zucchini,A woman is eating zucchini and vegetables and scrubbing with a brush,3.9,NEUTRAL,3797
Two men are getting off of an orange raft on the shore,The orange rescue boat is rushing across the water,3.0,NEUTRAL,6463
A brown dog is running through a snowy trail,A white dog is running through a snowy trail,3.4,NEUTRAL,8067
The man is not stirring the sauce for the chicken,The man is stirring the sauce for the chicken,4.0,CONTRADICTION,1487
The snowboarder is jumping off a snow covered hill,The snowboarder is jumping off a snowy hill,4.8,ENTAILMENT,9141
The men are carefully putting suitcases into the trunk of a car,The men are putting suitcases into the trunk of a car,4.6,ENTAILMENT,3691
A mountain is being climbed by two men,One man is climbing a rock wall and another man is holding a rope,3.7,NEUTRAL,7343
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3,NEUTRAL,205
A black dog is jumping off a dock into a pond,A black dog is jumping on a dock into a pond,4.7,ENTAILMENT,8407
There is no person playing a piano,A person is playing a piano,3.7,CONTRADICTION,5121
There is no clown singing,A clown is singing,3.3,CONTRADICTION,4247
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.7,NEUTRAL,49
A shoeless woman is sitting on a blanket under a lavender umbrella,"A woman, who is shoeless, is sitting on a blanket under a lavender umbrella",4.8,ENTAILMENT,6299
A yellow dog is running on white snow on a very sunny day,A tan dog is running through the snow,3.0,NEUTRAL,6321
"A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background",A topless person with a back pack is in front of a pile of rocks and clouds are in the background,5.0,ENTAILMENT,5943
There is no man mixing,A man is mixing,3.7,CONTRADICTION,1270
A woman is playing the trumpet,Someone is playing with a toad,1.7,NEUTRAL,5253
A man is squirting water into the mouth of a white dog with a squirt gun,The man is spraying a super soaker into the mouth of the dog,4.2,NEUTRAL,7719
Someone is banging the lens of a camera against a nail,The man is hammering a nail with a camera,4.5,ENTAILMENT,2318
Five adults are sitting on stone steps,Five adults are sitting on steps made of stone,4.9,ENTAILMENT,8622
The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,4.9,ENTAILMENT,541
A clown is singing and people are dancing,A costumed performer is singing and people are dancing,4.2,ENTAILMENT,4248
A girl is skateboarding on a half pipe,A skateboarder is doing tricks on a half pipe,4.0,NEUTRAL,5885
Tofu is being sliced by a woman,Tofu isn't being sliced by a woman,3.5,CONTRADICTION,1830
A man and a woman are standing in front of an art gallery and are looking at a map,A man and a woman are sitting in front of an art gallery and are looking at a map,3.4,NEUTRAL,8915
The man is walking along a path through the wilderness,A man is lazily walking down a road,3.285,NEUTRAL,3862
There is no man playing a guitar,A man is singing and playing a guitar,2.3,CONTRADICTION,4605
A cat is playing with a device,A playing device is amusing a cat,4.085,NEUTRAL,2045
There is no girl in white dancing,A girl in white is dancing,4.2,CONTRADICTION,219
The man is going into the water,The person is going into the sea,4.1,NEUTRAL,8500
The men are carefully putting suitcases into the trunk of a car,The men are packing suitcases into the trunk of a car,4.5,ENTAILMENT,3693
A small child is showing excitement on a swing set at the park,"The girl, who is little, is swinging and the woman is standing behind",3.6,NEUTRAL,7448
A brown and white dog with a brown and black bandanna is quickly running ,A brown and white dog with a brown and black bandanna is running very fast,4.9,ENTAILMENT,8842
A man is slicing a potato into pieces,A man is not cutting a potato,4.0,CONTRADICTION,4831
A brown dog is running through a snowy trail,A dog is running on a snowy path,4.0,ENTAILMENT,8072
A man is pouring liquid into a pot,The chef is carefully pouring some oil into a pan,4.1,NEUTRAL,1595
The girl is wearing an orange shirt and a striped tie,A girl is wearing an orange shirt and a striped tie,4.9,ENTAILMENT,9680
A chubby faced boy is wearing sunglasses,Sunglasses are being worn by a boy,4.5,ENTAILMENT,8304
People are crossing a rope bridge over a rocky stream,People are walking across a rope bridge over a rocky stream,4.9,ENTAILMENT,8743
Three kids are sitting in the leaves,Three kids are jumping in the leaves,3.8,NEUTRAL,56
The person is slicing a clove of garlic into pieces,A person is cutting a capsicum into pieces,3.1,NEUTRAL,2692
A man who is playing is running with the ball in his hands,A player is running with the ball,4.3,ENTAILMENT,107
There is no man putting some cheese on a pizza,A man is putting some cheese on a pizza,4.0,CONTRADICTION,5132
A topless person with a back pack is in front of a pile of rocks and clouds are in the background,A fully dressed person is behind a pile of rocks and a clear sky is in the background,2.7,NEUTRAL,5944
An onion is being sliced by a man,An onion is being cut by a man,4.8,ENTAILMENT,1719
A young girl in blue is jumping in the air,There is no girl in blue jumping in the air,3.7,CONTRADICTION,7549
A child is experiencing a new world,A boy under an umbrella is being let go by his father who is wearing a blue coat,1.2,NEUTRAL,7732
The boy is playing a guitar,A boy is playing a guitar,4.8,ENTAILMENT,2291
Rollerbladers are rolling in formation down a hill,A group of rollerbladers is lining up on the street,3.4,NEUTRAL,8668
A young girl in a blue leotard is jumping in the air,A young girl in blue is jumping in the air,4.2,ENTAILMENT,7554
A person is cutting a capsicum into pieces,One person is slicing a clove of garlic into pieces,3.5,NEUTRAL,2688
A girl is exercising,A man is doing exercise,3.0,NEUTRAL,3898
A horse is being ridden by a man,A man is riding a horse,5.0,ENTAILMENT,4074
Two dogs are fighting,Two dogs are wrestling and hugging,4.0,NEUTRAL,12
The kittens on the trays are being eaten as food for an advertisement,The food on the trays is being eaten by the kittens,3.5,NEUTRAL,1877
A dog is sitting on the ground,A girl is tapping her fingernails,1.0,NEUTRAL,5894
There is no man singing and playing a guitar,A man is singing and playing a guitar,3.5,CONTRADICTION,4601
A man is wiping the edge of a bowl,There is no man wiping the edge of a bowl,3.4,CONTRADICTION,5627
A man is putting away a guitar,A person is singing and playing the guitar,3.4,NEUTRAL,1892
A black and white dog is holding a baseball in its mouth,A brown and white dog is holding a baseball in its mouth,3.4,NEUTRAL,6122
A man is playing a guitar on stage,There is no man playing a guitar on stage,3.6,CONTRADICTION,283
A young man on a bmx bicycle is jumping on a masonry pyramid,A young man on a bmx bicycle is jumping off a masonry pyramid,4.4,ENTAILMENT,8479
A woman is picking a can,A woman is slicing a tomato,1.7,NEUTRAL,4341
Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Two twin preteen kids are dueling with sticks,2.4,NEUTRAL,6994
The horse is being ridden by a man,A man is riding the horse,5.0,ENTAILMENT,2001
A man is squatting in brush and taking a photo,A man is crouching and holding a camera,3.7,ENTAILMENT,7808
A man is playing two keyboards,There is no cat playing a keyboard,2.3,NEUTRAL,1545
The man is playing a game on a lawn,The rhino is grazing on the grass,1.0,NEUTRAL,5756
A brown and white dog is catching a dirty tennis ball in a dirt field,A brown and white dog is biting a dirty tennis ball in a dirt field,4.1,NEUTRAL,9651
A fur scarf is being held by an Asian woman,An Asian woman is holding a fur scarf,5.0,ENTAILMENT,7934
A potato is being sliced by a person,A person is playing a piano,1.185,NEUTRAL,5124
