id	sim	sent_1	sent_2
MSRpar#SP1	4	لكن مصادر أخرى مقربة من المزاد قالت  بأن فيفندي قد أبقى  الباب مفتوحا أمام المزيد من العروض وتأمل أن يرى مقدمي العروض المهتمين في الأصول الفردية كفريق واحد.	لكن مصادر أخرى مقربة من  المزاد قالت  بأن فيفندي قد أبقى الباب مفتوحا لمزيد من العروض في اليوم أو اليومين التاليين .
MSRpar#SP10	2.6	سيكون الدعم بمثابة ترقية للبرمجيات الحرة التي تسمى WebVPN وذلك للعملاء الحاليين الذين لديهم عقود  دعم .	ستكون الترقية متاحة للتنزيل مجانا للعملاء الحاليين بدعم من شبكة سمارت في شهر ينايرمن عام 2004.
MSRpar#SP100	4	لم يصرح المسؤولون عما إذا كانت القوات الأمريكية عبرت الحدود الى الأراضي السورية ،وشابها غموض عن كيفية تورط حرس الحدود السوري .	"لم يصرح مسؤولون أمريكيون عما إذا كانت القوات الأمريكية، التي تعمل لصالح المخابرات، قد عبرت الحدود الى الأراضي السورية ،وشابها غموض حول كيفية تورط الحرس السوري.
MSRpar#SP101	1.750	أدخلت شركة فيري ساين خدمتها لموقع المستكشف في 15 سبتمبر.	تستعر المعركة حول فيريساين على خدمة الموقع المكتشف منذ ثلاثة أسابيع .
MSRpar#SP103	4.500	قالت أن دروس مازال محتجزا في السجن، وهو الآن في غرفة العزل .	تم وضع دروس الليلة الماضية في غرفة العزل في السجن نفسه .
MSRpar#SP104	3.250	توفي أول العاملين في مجال الرعاية الصحية في البلاد بمرض سارس  وهو فلبيني كندي ،الذي أصيب بهذا المرض في المستشفى العام نورث يورك، الموقع الثاني من حيث انتشار المرض .	أصيبت اميلي ، البالغة من العمر51 عاما ، بالسارس ،عندما كانت تعمل كممرضة في المستشفى العام نورث يورك، مركز تفشي المرض الثاني.
MSRpar#SP105	5.000	وقد سلم زعيمهم، أبو بكر الأزدي، نفسه في شهر حزيران. حيث قتل نائبه في تبادل لإطلاق النار في الآونة الأخيرة مع القوات السعودية .	وقد استسلم قائدهم، أبو بكر الأزدي، في يونيو؛ حيث قتل نائبه في تبادل لإطلاق النار مع القوات السعودية في الآونة الأخيرة.
MSRpar#SP106	3.000	بعد البيان الافتتاحي فريتاس، أجل ملك مقاطعة المحكمة العليا القاضي تشارلز مرتل عقد المحاكمة إلى ما بعد عطلة عيد الشكر.	أجل ملك مقاطعة المحكمة العليا القاضي تشارلز ملتر عقد المحاكمة، حتى يوم الإثنين.
MSRpar#SP107	2.800	نوهت  الصحيفة  أن مسثمري جوجل هي مؤسسات رأسمالية بارزة منها : كلينر بيركنز كوفيلد ، بايرز وسيكويا كابيتال.	داعمو جوجل في مراحلها الأولى هم :جامعة ستانفورد ومقرها كاليفورنيا، الشركات الرأسمالية كلينر بيركنز وسيكويا كابيتال .
MSRpar#SP108	2.667	الأول من يوليو هو الذكرى السادسة لعودة هونغ كونغ إلى الحكم الصيني.	طغت الاحتفالات والتجمعات بمناسبة الذكرى السادسة لعودة هونج كونج إلى الصين، في 1 يوليو عام 1997.
MSRpar#SP109	4.000	أعلنت شركة النخيل  الأربعاء عن خطط للحصول على هاندسبرينغ وهي شركة شقت طريقها عن طريق جيف هوكينز، الذي يعتبره الكثيرون الأب لشركة بالم .	أعلنت شركة النخيل يوم الأربعاء أنها تعتزم شراء شركة هاندسبرينغ ، الشركة التي تم إنشاؤها من قبل المنشق بالم المؤسس المشارك جيف هوكينز.
MSRpar#SP11	4.400	حكم  يوم الجمعة ،على الرجل المتهم باستخدام قنابل وهمية للاستيلاء على طائرة كوبية سقطت في كي ويست في أبريل ، بالسجن لمدة 20 عاما	حكم يوم الجمعة على المهندس المعماري الكوبي  بالسجن 20 عاما لاستخدام قنبلتين يدويتين وهميتين لخطف طائرة ركاب  كانت متجهة من كوبا إلى فلوريدا في شهر ابريل.
MSRpar#SP110	4.400	لا أريد أن أكون راعيا لها ، ذلك لأنها ليست من اقتراحنا ، ولكن  لن أكون  سلبيا حيالها.	قال : أنا لا أريد أن أكون راعيا لها ، ذلك لأنها ليست من اقتراحنا ، ولكن من جهة أخرى   لن أرد عليها بطريقة سلبية .
MSRpar#SP111	4.250	ركنت الحكومة محادثات السلام مع الجبهة مؤخرا على الرف ،والتى تجرى بوساطة ماليزيا، ذلك بعد سلسلة من الهجمات، تشمل ثلاثة تفجيرات، في مينداناو.	ركنت الحكومة مؤخرا محادثات السلام ، والتى تجرى بوساطة ماليزيا المجاورة على  الرف ، ذلك بعد سلسلة من الهجمات في مينداناو، تشمل ثلاثة تفجيرات قاتلة ، وأنها تلقي باللوم على الجبهة .،
MSRpar#SP112	4.176	حققت الشركة خلال الفترة من العام الماضي أرباحا قدرها 54,3 مليون دولار، أو 22 سنتا للسهم الواحد .	كان ذلك ارتفاعا من ربع العام الماضي، عندما ربحت الشركة 54,3 مليون دولار، أو 22 سنتا للسهم الواحد.
MSRpar#SP113	3.000	انضمت كل من مجتمعات ماساتشوستس للووترتاون، ساجوس وفرامنجهام إلى بوسطن يوم الإثنين .	جنبا إلى جنب مع بوسطن، ستتبع كل من ووترتاون وساجوس إثنين خالي من التدخين .
MSRpar#SP114	2.500	تم تتبعه إلى أتلانتا حيث ألقي القبض عليه مساء الثلاثاء.	تم اعتقاله في أتلانتا، جورجيا، مساء الإثنين من قبل الشرطة بناء على معلومات سرية .
MSRpar#SP115	3.800	أطاح جنود إسرائيليون منازل متنقلة فارغة وخزانات للمياه في 10 بؤر استيطانية صغيرة في الضفة الغربية الليلة الماضية ،كجزء من خطة سلام في الشرق الاوسط تدعمها الولايات المتحدة.	بدأ جنود إسرائيليون بهدم بؤر استيطانية في الضفة الغربية أمس -  وهو التزام إسرائيلي بموجب خطة سلام جديدة في الشرق الاوسط .
MSRpar#SP116	4.600	لم يعلن الاتحاد بعد أي سلسلة ستكون المستهدفة .	قالت النقابة أنها ستكشف في وقت لاحق عن السلسلة المستهدفة .
MSRpar#SP117	1.400	"تخاصوا منها جميعا " هذا ما يقوله  هوارد دافيدوتز ، رئيس شركة دافيدوتزوشركاه، وهي شركة استشارية وطنية متجزئة مقرها مدينة نيويورك .
MSRpar#SP118	2.8	تشمل المنتجات المحدثة بوابة برو، بوابة القناة ، بوابة أي مكان ،وبوابة  خدمة التطبيق .	تشمل المنتجات الجديدة من جانب سطح المكتب أحدث إصدارات بوابة القناة وبوابة برو.
MSRpar#SP119	2.8	من ناحية أخرى كان ديكسون  فئة في الحقل في ميدان السباق العالمي بيكس بيك .	في نهاية المطاف ربح سكوت ديكسون سيارة هوندا إندي  225التي  تبدو سهلة يوم الأحد في ميدان السباق العالمي بيكس بيك .
MSRpar#SP12	4.2	وقال جيم وليامز، مدير مشروع زيارة الولايات المتحدة : أنه بحلول منتصف شهر نوفمبر، سيتم  أخذ بصمات  وصورالعديد من الركاب القادمين في أتلانتا	وقال جيم وليامز، مدير مشروع زيارة الولايات المتحدة :أنه بحلول منتصف نوفمبر، سيقوم المفتشون  بأخذ بصمات وصور للعديد من الركاب الأجانب القادمين إلى أتلانتا.
MSRpar#SP120	4.2	قالت السلطات التركية أن جميع المفجرين الانتحاريين كانوا من الأتراك.	تقول أنقرة أن المفجرين الانتحاريين الأربعة جميعهم من الأتراك .
MSRpar#SP121	1	من المتوقع تحقيق أرباح للعمليات التشغيلية في نيسان في حدود 60 إلى 80 سنتا للسهم الواحد.	كوداك تتوقع أرباحا من 5 سنتات إلى 25 سنتا للسهم الواحد في الربع الثالث.
MSRpar#SP122	4.2	من فلوريدا إلى ولاية ألاسكا، توعد الآلاف من المحتفلين بالضغط من أجل مزيد من الحقوق القانونية، بما في ذلك زواج المثليين .	احتفل الآلاف من الناس بالقرار ، وتوعدوا بالضغط من أجل المزيد من الحقوق القانونية، بما في ذلك زواج المثليين .
MSRpar#SP123	2.75	قبل ليلة الأحد، أحدثت الحرائق سوادا ب 277،000 فدان، على بعد مئات الأميال بعيدا.	أدت الحرائق الكبرى إلى إشعال 264،000 فدان في بداية الليلة الماضية.
